label_ID,x_nm,y_nm,oligomer_ID
1,-131.78,5665.9,147
2,-131.78,5665.9,147
3,-114.56,5619,147
4,-114.56,5619,147
5,-91.561,5210.7,148
6,-91.561,5210.7,148
7,-84.831,5683.2,147
8,-84.831,5683.2,147
9,-67.619,5636.2,147
10,-67.619,5636.2,147
11,-62.69,5169.9,148
12,-62.69,5169.9,148
13,-50.738,5239.6,148
14,-50.738,5239.6,148
15,-43.971,4900.2,34
16,-43.971,4900.2,34
17,-21.867,5198.8,148
18,-21.867,5198.8,148
19,-19.963,4856.3,34
20,-19.963,4856.3,34
21,-0.11228,4924.2,34
22,-0.11228,4924.2,34
23,23.896,4880.3,34
24,23.896,4880.3,34
25,54.457,3451.4,27
26,54.457,3451.4,27
27,77.92,3407.3,27
28,77.92,3407.3,27
29,98.61,3474.9,27
30,98.61,3474.9,27
31,105.6,9765.6,220
32,105.6,9765.6,220
33,116.44,9814.4,220
34,116.44,9814.4,220
35,122.07,3430.8,27
36,122.07,3430.8,27
37,154.42,9754.7,220
38,154.42,9754.7,220
39,165.25,9803.6,220
40,165.25,9803.6,220
41,172.95,8.5265,121
42,172.95,8.5265,121
43,193.35,54.178,121
44,193.35,54.178,121
45,218.61,-11.867,121
46,218.61,-11.867,121
47,239,33.785,121
48,239,33.785,121
49,242.08,1513.3,225
50,242.08,1513.3,225
51,275.78,1476.4,225
52,275.78,1476.4,225
53,279.02,1547,225
54,279.02,1547,225
55,312.72,1510.1,225
56,312.72,1510.1,225
57,351.51,4135.8,98
58,351.51,4135.8,98
59,386.18,4171.9,98
60,386.18,4171.9,98
61,387.55,4101.2,98
62,387.55,4101.2,98
63,408.46,8250.2,23
64,408.46,8250.2,23
65,417.14,8299.4,23
66,417.14,8299.4,23
67,422.21,4137.2,98
68,422.21,4137.2,98
69,457.7,8241.5,23
70,457.7,8241.5,23
71,466.38,8290.7,23
72,466.38,8290.7,23
73,495.74,4437.7,75
74,495.74,4437.7,75
75,517.95,1127,184
76,517.95,1127,184
77,527.48,6116.4,47
78,527.48,6116.4,47
79,528.6,4400,75
80,528.6,4400,75
81,533.42,4470.6,75
82,533.42,4470.6,75
83,540.49,6341.2,43
84,540.49,6341.2,43
85,543.98,6291.3,43
86,543.98,6291.3,43
87,544.88,5162.3,3
88,544.88,5162.3,3
89,550.55,6723.9,44
90,550.55,6723.9,44
91,551.05,1164.5,184
92,551.05,1164.5,184
93,554.26,5211.4,3
94,554.26,5211.4,3
95,555.43,1093.9,184
96,555.43,1093.9,184
97,558.05,581.76,153
98,558.05,581.76,153
99,559.65,6078.1,47
100,559.65,6078.1,47
101,565.75,6148.5,47
102,565.75,6148.5,47
103,566.29,4432.9,75
