label_ID,oligomer_ID,framenum,x_nm,y_nm
1,147,6695,10080,5653.8
1,147,6696,10072,5662.3
1,147,6704,10070,5654.6
1,147,6710,10086,5674
1,147,6711,10053,5668.1
1,147,6712,10077,5661.9
1,147,6713,10065,5660.8
1,147,6714,10069,5667.2
1,147,6741,10071,5652.1
1,147,6747,10073,5662.7
1,147,6748,10077,5663.3
1,147,6752,10056,5668.6
1,147,6753,10073,5654
1,147,6754,10074,5656.4
1,147,6755,10066,5671
1,147,6756,10068,5669.7
1,147,6757,10062,5660.5
1,147,6758,10074,5657.2
1,147,6767,10050,5669.9
2,147,837,10068,5659.4
2,147,838,10065,5664
2,147,839,10059,5661.4
2,147,847,10080,5653.5
2,147,848,10073,5667.2
2,147,851,10086,5669.3
2,147,852,10086,5685.8
2,147,855,10078,5660.5
2,147,856,10068,5671
2,147,857,10078,5663.6
2,147,861,10053,5654.1
2,147,862,10076,5672
2,147,865,10073,5666.5
2,147,866,10060,5668.4
2,147,867,10056,5660
3,147,9577,10094,5610.1
3,147,9578,10092,5613.5
3,147,9579,10096,5612.3
3,147,9580,10087,5634.9
3,147,9621,10091,5609.3
3,147,9622,10093,5644.8
3,147,9623,10079,5620.4
3,147,9624,10086,5620
3,147,9629,10088,5620.8
3,147,9662,10092,5609
3,147,9671,10096,5630.2
3,147,9672,10071,5637.2
3,147,9673,-97.877,5627.9
3,147,9674,10085,5640.3
3,147,9680,10084,5616.4
4,147,875,10084,5616
4,147,882,10090,5626.6
4,147,885,10073,5604.6
4,147,886,10093,5608
4,147,892,10076,5613.8
4,147,893,10076,5612.3
4,147,895,10095,5616.1
4,147,896,10078,5621.9
4,147,910,10085,5622.6
4,147,911,10082,5617.6
4,147,916,10075,5608.1
4,147,925,10085,5632.2
4,147,926,10068,5606.2
4,147,933,10095,5608.6
4,147,934,10097,5620.8
4,147,962,10098,5627
5,148,6603,10091,5211.6
5,148,6612,-79.55,5211.9
5,148,6625,10088,5202.6
5,148,6638,-99.611,5207.9
5,148,6652,-98.746,5210.8
5,148,6663,-80.654,5220.2
5,148,6664,-69.629,5212
5,148,6675,10100,5206.7
5,148,6685,-98.871,5229.1
5,148,6686,-78.121,5209.3
5,148,6687,-90.401,5226.8
5,148,6688,-82.99,5206.6
5,148,6689,10095,5212.8
5,148,6690,-80.063,5208.1
5,148,6709,-77.069,5201.9
5,148,6710,-86.727,5202.2
5,148,6711,-70.409,5207.7
6,148,5838,-98.291,5225.8
6,148,5839,-85.708,5203.4
6,148,5840,10100,5216.8
6,148,5841,-84.424,5196
6,148,5856,-83.404,5219.6
6,148,5857,-98.19,5227.4
6,148,5858,-77.508,5206.9
6,148,5860,-99.414,5220.3
6,148,5861,-90.705,5206.6
6,148,5867,10100,5207.6
6,148,5887,-91.737,5228.5
6,148,5888,10090,5231.9
6,148,5898,10097,5216.5
6,148,5899,-91.443,5191.2
6,148,5900,-94.096,5217.3
6,148,5901,-84.921,5208.5
6,148,5902,10092,5230.7
6,148,5903,-98.835,5197.3
6,148,5904,-88.958,5212
7,147,6957,-80.142,5690.5
7,147,6958,-86.157,5680.7
7,147,6959,-75.072,5685.7
7,147,6968,-89.943,5673.1
7,147,6969,-79.514,5680.1
7,147,6986,-89.935,5662.3
7,147,6996,-94.394,5677
7,147,6997,-74.641,5680
7,147,7002,-81.774,5681.4
7,147,7023,-86.458,5686.9
7,147,7024,-77.711,5692.3
7,147,7025,-75.192,5671.9
7,147,7028,-74.705,5680.4
7,147,7033,10099,5685.2
7,147,7034,-66.701,5692.2
7,147,7041,-89.467,5691.1
8,147,7778,10098,5682.3
8,147,7779,-79.588,5703.3
8,147,7780,-86.905,5684.8
8,147,7784,-84.262,5678.7
8,147,7785,-92.224,5689.4
8,147,7804,-75.947,5684.3
8,147,7805,-66.545,5680.3
8,147,7806,-73.789,5706.1
8,147,7820,-87.494,5678.6
8,147,7821,-77.813,5687.8
9,147,2885,-86.966,5629.8
9,147,2886,-68.603,5637.6
9,147,2887,-78.813,5607.6
9,147,2888,-67.621,5627.7
9,147,2893,-73.576,5652.1
9,147,2905,-61.354,5626.1
9,147,2906,-77.864,5631.2
9,147,2907,-72.442,5629.6
9,147,2908,-78.619,5658.5
9,147,2909,-86.164,5638
9,147,2925,-57.373,5626.6
9,147,2936,-87.187,5637.1
9,147,2948,-63.381,5643.4
9,147,2949,-72.325,5614
9,147,2960,-63.199,5652.9
9,147,2961,-56.789,5624.1
9,147,2964,-75.803,5623.1
9,147,2966,-72.924,5623.4
9,147,2967,-72.067,5626.9
9,147,2968,-58.268,5646
9,147,2969,-75.533,5638.8
9,147,2973,-66.525,5627.1
9,147,2974,-53.123,5630.4
9,147,2977,-70.096,5626.3
9,147,2978,-63.599,5634.8
9,147,2979,-60.648,5647.8
9,147,2990,-77.111,5616.3
9,147,2991,-84.39,5637.8
9,147,2992,-65.563,5650.7
9,147,3010,-70.231,5638.4
9,147,3011,-68.233,5616
9,147,3012,-81.778,5636.3
9,147,3013,-77.76,5651.2
9,147,3017,-60.863,5636.4
9,147,3037,-79.004,5647.4
9,147,3038,-67.537,5615.7
9,147,3048,-63.056,5634.9
9,147,3049,-63.282,5626.6
9,147,3050,-63.66,5637.1
9,147,3059,-54.868,5640.5
9,147,3060,-80.665,5639.7
9,147,3069,-78.756,5624.2
9,147,3078,-79.488,5639
9,147,3079,-44.516,5635
9,147,3080,-59.57,5623.8
9,147,3114,-63.039,5620.6
9,147,3142,-70.45,5645
9,147,3143,-82.98,5630.6
9,147,3167,-70.693,5614.6
9,147,3168,-57.043,5620.6
10,147,7233,-72.759,5649.6
10,147,7234,-75.831,5633.3
10,147,7243,-72.843,5636.7
10,147,7244,-45.4,5638.3
10,147,7245,-68.096,5627.3
10,147,7246,-65.908,5629.9
10,147,7262,-65.757,5629
11,148,3554,-44.874,5180.8
11,148,3557,-68.178,5160.2
11,148,3558,-72.977,5183.6
11,148,3559,-57.399,5180.3
11,148,3560,-51.957,5172
11,148,3561,-62.654,5169.6
11,148,3562,-56.102,5182.1
11,148,3563,-68.328,5171.6
11,148,3572,-66.872,5160
12,148,4272,-40.415,5179.6
12,148,4273,-55.527,5151
12,148,4296,-61.089,5150.7
12,148,4297,-62.928,5176.9
12,148,4302,-51.973,5155.3
12,148,4303,-51.629,5172.6
12,148,4304,-70.212,5162.9
13,148,5774,-67.528,5242.5
13,148,5775,-47.105,5238.2
13,148,5776,-40.762,5228.6
13,148,5792,-60.074,5257
13,148,5793,-63.952,5242.8
13,148,5808,-56.85,5240.7
13,148,5809,-52.1,5226.8
13,148,5810,-62.572,5226.5
13,148,5834,-47.444,5253.5
14,148,500,-44.52,5227
14,148,526,-58.873,5232.7
14,148,527,-52.755,5240.2
14,148,537,-52.208,5245
14,148,542,-52.607,5249.3
14,148,570,-45.49,5251.4
14,148,571,-59.841,5225.8
14,148,572,-49.767,5263.9
14,148,573,-44.153,5234.3
14,148,574,-47.861,5234.3
14,148,591,-34.924,5235.7
14,148,602,-50.397,5228.9
14,148,603,-56.011,5243
14,148,604,-40.004,5241.6
14,148,611,-54.483,5244.5
14,148,612,-56.441,5258.7
14,148,613,-33.089,5259.8
14,148,616,-58.999,5223.8
14,148,617,-40.65,5235.2
14,148,618,-42.465,5232.5
14,148,643,-61.152,5241.4
14,148,644,-61.033,5218.8
14,148,645,-58.205,5249.5
14,148,649,-43.737,5228.1
14,148,650,-53.497,5235.3
14,148,654,-51.475,5233.9
14,148,655,-61.539,5241.2
15,34,9869,-37.883,4877.1
15,34,9871,-47.978,4904
15,34,9872,-45.249,4903.7
15,34,9873,-56.376,4894.8
15,34,9874,-43.909,4899.6
15,34,9875,-40.368,4879.7
15,34,9876,-22.607,4887.4
